id,description,name,accreditations,alternate_name,date_incorporated,email,funding_sources,legal_status,licenses,tax_id,tax_status,website
0,"Provides transitional housing for women and women with children. Other services provided: Case management, Information, Assistance applying for benefits, Utility Assistance, 1 month's rent and security deposit assistance (rent assistance).",Allegany County Human Resources Women's Transitional Housing,,,,,,,,,,
1,Outpatient Mental Health Crisis assistance. Free and/or accepts Medicaid.,Committed to Change,,,,,,,,,,
2,"Substance Abuse treatment including Outpatient Detox, Intensive/Standard Outpatient, Methadone and Buprenorphine treatment. Medicaid Accepted.",Cumberland Treatment Center,,,,,,,,,,
3,Assistance with applying for and owning an affordable home. Free guidance.,Habitat for Humanity-Home Buying Program,,,,,,,,,,
4,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
5,"A tenant based rental subsidy program providing  permanent housing in connection with supportive services to homeless people with disabilities and their families. Eligibility requirements: Serious mental illness; and/or Chronic problems with alcohol, drugs and/or (AIDS) or related diseases. Call for more information.",Mental Hygiene Administration's (MHA) Continuum of Care (CoC) Housing Program,,,,,,,,,,
6,"Information, education and referral for individuals and families affected by opioid abuse. Free.",Prescribe Change Allegany County,,,,,,,,,,
7,"Mediation services for community, family, landlord tenant, employment, reentry conflicts. Free.",Anne Arundel Conflict Resolution Center,,,,,,,,,,
8,Substance abuse treatment and counseling. Sexual offender treatment and services. Prostitution and Solicitation program. Medicaid Accepted.,"Anne Arundel Counseling, Inc. - Edgewater",,,,,,,,,,
9,Substance abuse treatment and counseling. Sexual offender treatment and services. Prostitution and Solicitation program. Medicaid Accepted.,"Anne Arundel Counseling, Inc. - Annapolis",,,,,,,,,,
10,Substance abuse treatment and counseling. Sexual offender treatment and services. Prostitution and Solicitation program. Medicaid Accepted.,"Anne Arundel Counseling, Inc. - Glen Burnie",,,,,,,,,,
11,"Energy, rent and housing assistance. Eviction prevention. Early head start program, youth summer employment for 15- 24 year olds. Comprehensive case management and referrals.",Anne Arundel County Community Action Agency,,,,,,,,,,
12,"Substance Abuse and Mental Health treatment. Intensive/Standard Outpatient, Methadone and Suboxone treatment. Individual and family counseling. Accepts Medicaid.","Anne Arundel County Department of Health, Behavioral Health Building, Child and Adolescent Mental Health Services",,,,,,,,,,
13,Provides referrals to mental health and substance abuse treatment.,Anne Arundel County Health Department; Behavioral Health,,,,,,,,,,
14,"Mental health services including counseling, employment referrals, case management, independent and supportive housing, vocational support, crisis response team and financial assistance. Medicaid Accepted.",Anne Arundel County Mental Health Agency,,,,,,,,,,
15,"Mental health and counseling services including treatment for anxiety, depression, life changes, relationship issues, traumas and persistent mental illnesses. Anger management classes and support groups. Medicaid Accepted.",Anne Arundel Group Mental Health,,,,,,,,,,
16,Adult literacy. One on one tutoring and classes. Locations throughout the county. Free.,Anne Arundel Literacy Council,,,,,,,,,,
17,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Arnold American Job Center,,,,,,,,,,
18,"Emergency shelter and transitional and permanent affordable housing. Detox, mental health support, legal aid, day center. Employment training, literacy program and medical clinic. Support groups, parenting classes, AA/NA. Men, women and children welcome. No sex offenders. Free.",Arundel House of Hope,,,,,,,,,,
19,"Intensive/Standard Outpatient Substance Abuse and Mental health treatment, Psychiatric Rehabilitation (residential and non residential,) support groups. Walk in and same day services available. Accepts Medicaid.",Arundel Lodge,,,,,,,,,,
20,"Assistance for Hispanic-Latinos and other immigrants including ESL classes, Career readiness and resume writing, Translations/interpretations, Financial Assistance, Medical issues, Employment and workers compensation, Housing and financial issues, Court issues, Applications assistance. Free.",Center of Help,,,,,,,,,,
21,"Serve breakfast and lunch Mon-Fri, clothing closet open Tuesday, job skills training, referrals for additional services. Free.",Emmaus Center,,,,,,,,,,
22,"Skill development: Social, medication, housing, substance abuse. Case management. In house therapy. Counseling services. Medicaid, Maryland Medical Assistance or Medicare required.",Empowering Minds Resource Center,,,,,,,,,,
23,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Glen Burnie American Job Center,,,,,,,,,,
24,Assistance with applying for and owning an affordable home. Free guidance.,Habitat for Humanity-Home Buying Program,,,,,,,,,,
25,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
26,"Intense curriculum of civic information and leadership skills development. Comprehensive, hands-on, multi-disciplinary study of Anne Arundel County. Contact to apply.",Leadership Anne Arundel,,,,,,,,,,
27,Annapolis Parole & Probation and Drinking Driving Monitoring Program.,MD Dept. of Public Safety & Correctional Services- ANNAPOLIS- Parole and Probation,,,,,,,,,,
28,"Substance Abuse and Mental Health treatment, psychiatric rehabilitation, vocational training, case management, benefits counseling, resources for self-employment and day programs. Medicaid Accepted.","PDG Rehabilitation, Inc.",,,,,,,,,,
29,Services for individuals with intellectual and developmental disabilities including financial assistance to employment training; drop-in services to community homes; crisis intervention to educational advocacy. Free.,The Arc of Central Chesapeake Region,,,,,,,,,,
30,"Provides shelter for 10 days to 1 month to women who have been physically and/or sexually abused by their partners. Children can remain in shelter with parent. Hotline, counseling, support groups and services and case management. Women only. Free.",YWCA of Annapolis and Anne Arundel County Domestic Violence Shelter,,,,,,,,,,
31,"Outreach services including food, clothing, pregnancy resource center and baby pantry, job training, hot meals, utility and rental assistance, day and after school mentoring and day camp programs. Free.",Agape House Homeless Services,,,,,,,,,,
32,Job readiness and job placement in Baltimore City. Free.,"America Works of Maryland, Inc.",,,,,,,,,,
33,"Outpatient mental health treatment. Medication management, therapy and counseling. Medicaid accepted.","Apex Counseling Center, LLC",,,,,,,,,,
34,Inpatient/Outpatient substance abuse treatment. Buprenorphine provider. Accepts Medicaid/Medicare.,"Baltimore Cares, Inc.",,,,,,,,,,
35,"Provide locate services, establishes paternity of children, establishes and enforces court ordered support payments, collects support payments, and reviews and modifies court ordered support obligations. Also assists obligor parents with overcoming barriers to consistent, gainful employment.","Baltimore City Office of Child Support Services, operated by MAXIMUS, Inc.",,,,,,,,,,
36,"24 Hour Crisis Hotline, Mobile Crisis Team, Substance Use Services, Case Management.",Baltimore Crisis Response,,,,,,,,,,
37,"Substance abuse treatment, residential, inpatient treatment. Men only. No severe mental health illness. No sex offenders.",Baltimore Station,,,,,,,,,,
38,"Provides food, clothing, furniture and diapers. Womens and children's shelter.",Bea Gaddy Family Center,,,,,,,,,,
39,Provides referrals to mental health and substance abuse treatment.,Behavioral Health System Baltimore,,,,,,,,,,
40,"GED program & Adult Basic Education classes, Child care, Employment readiness, Money management workshops, Life skills training, Nurturing Parenting classes, Parent support groups, Teen parent program, Health education, Counseling, In-home support services. Free.",Bon Secours Family Support Center,,,,,,,,,,
41,"Transitional housing/ treatment for pregnant women who are non-violent offenders. Parenting, job skills, drug and alcohol treatment. Women over 18. Free/Medicaid Accepted.",Chrysalis House Healthy Start,,,,,,,,,,
42,"Intensive Outpatient Substance Abuse treatment for Women. Services also include 26 week counseling program, relapse prevention, support meetings and on site childcare. Open Tues-Thurs 1-4 p.m. Women only. Free/Medicaid Accepted.",Chrysalis House Intensive Outpatient,,,,,,,,,,
43,Conflict resolution services. Dialogue facilitation. Free.,Community Conferencing Center,,,,,,,,,,
44,Counseling services. Medicaid/Medicare accepted.,"Complete Wellness, Inc.",,,,,,,,,,
45,"Substance Abuse treatment: Intensive Outpatient, Standard Outpatient, DWI, detox and early intervention. Medicaid accepted.",DeVaughn Inc. Teach and Treat Options (DITTO),,,,,,,,,,
46,"Skill development: Social, medication, housing, substance abuse. Case management. In house therapy. Counselling services. Medicaid, Maryland Medical Assistance or Medicare required.",Empowering Minds Resource Center,,,,,,,,,,
47,"Life Skill Training, Spiritual Support, Residential, Life skills training, vocation training, Substance Abuse treatment, Employment referrals. Transitional housing, mentoring. No sex offenders.",Freedom Advocates Celebrating Ex- Offenders (F.A.C.E.),,,,,,,,,,
48,"Rapid re-housing and shelter diversion program, coupled with intensive case management and short-term rental assistance, serving 150 families and individuals in Baltimore City and Baltimore County. Call for eligibility.",Front Door,,,,,,,,,,
49,"Job readiness, case management and placement for the Latino population. Must have documentation to work in the US. Call for more information. Free.",Goodwill - Buena Alianza program,,,,,,,,,,
50,Various levels of computer and clerical training. High School Diploma or GED required. Can be enrolled in GED program with testing within 30 days. Applicants must be interviewed by facilitators. Call for more information and to register. Free.,Goodwill - Clerical & Computer Skills Training Classes,,,,,,,,,,
51,10 week custodial skills training program. Referral from the Maryland Division of Rehabilitative Services required. Call for more information or to register. Free.,Goodwill - Custodial Skills Training,,,,,,,,,,
52,GED preparation classes. In partnership with Baltimore City Community College. Call to register. Free.,Goodwill - GED Preparation,,,,,,,,,,
53,Job readiness training and placement. Free. Call to register.,Goodwill - Job Readiness Program,,,,,,,,,,
54,SEETTS offers job training and assistance with job placement. Specific to ex offenders. Classes Mon-Thursday from 10am - 12noon or 1pm - 3pm. Classes are 2 weeks long. Call to register. Free.,"Goodwill - Supporting Ex- Offenders in Employment, Training and Transitional Services",,,,,,,,,,
55,Assistance with applying for and owning an affordable home. Free guidance.,Habitat for Humanity-Home Buying Program,,,,,,,,,,
56,"Day program offers case management, outreach, telephone, showers, washer/dryer, education, support groups, health maintenance groups, recreational activities, snacks.  Men and women welcome. Free.",Helping Other People through Empowerment,,,,,,,,,,
57,"Adult Intensive/Standard Outpatient substance abuse treatment. Mental Health referrals, DUI classes, Buprenorphine Assisted, Vivitrol. Medicaid accepted.",Home Free I.O.P.,,,,,,,,,,
58,"Free legal services to preserve state disability, welfare, food stamps, Medicaid, veterans’ and other benefits. Assistance with evictions, public housing and expungement.",Homeless Persons Representation Project,,,,,,,,,,
59,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
60,"Customer Service, Culinary, and Administrative Assistant career training for adults, ages 18 +. Youth and family services, and support services including case management, job development, and financial coaching. Job readiness and job placement for individuals with disabilities. Social enterprise DeTails Deconstruction and City Seeds. VITA (Volunteer Income Tax) preparation site.",Humanim,,,,,,,,,,
61,Mental and behavioral health. Counseling and group sessions. Referral services for inpatient programs. Medicaid accepted.,Insightful Life Therapeutic Services,,,,,,,,,,
62,"Diagnostic Assessments, individual, family, couples and group counseling. Anger management, court ordered therapy and referral services for inpatient programs. Medicaid accepted.","Inspirations, LLC.",,,,,,,,,,
63,"HIV Testing and Counseling, support groups, integrated pharmacy, treatment support and community engagement. Free, Sliding Scale, Medicaid accepted.",JACQUES Initiative (Institute of Human Virology),,,,,,,,,,
64,Provides drug and alcohol counseling for juveniles in the court system.,Juvenile Court Early Intervention Program (JCEIP) (Referrals Only),,,,,,,,,,
65,"Overnight Emergency Shelter. Doors open at 5 p.m., close at 7:45 p.m. ID required (if no id, have a 5 day grace period) No shorts, no tank tops. Showers, toiletries provided. Free clothes given out Monday, Wednesday, Friday for those staying at the shelter. 5 Day alcohol detox. Women and Children Only. *Children-Boys: must be 9 years old or younger, Girls: Any age.",Karis House,,,,,,,,,,
66,"Outpatient psychiatric rehabilitation Center, case management, medication assistance and management. Medicaid accepted.","Madonna Healthcare Services, Inc.",,,,,,,,,,
67,"Consumer guide and tips on Health, Life, Auto, Commercial and Home Insurance. Ability to file a complaint. Statewide. Free.",Maryland Insurance Administration,,,,,,,,,,
68,"2 week job training program. Career Assessments, Job Readiness, Mock Interviews, Job Placement Assistance, Barrier Assessment and Management, One-on-One Job Coaching, Professional Network Development, Job Retention Services. PORT Training- train to work with the port of Baltimore, 90 hours of training to obtain certification, GED required (no criminal charges within the past 8 years). Ages 18-60. Free.",Maryland New Directions,,,,,,,,,,
69,"Transitional housing and support services for homeless men, women and families. Free. Call for intake and more information.",Volunteers Of America Paca House,,,,,,,,,,
70,Central Gay Street Parole & Probation Office and Drinking Driving Monitoring Program,MD Dept. of Public Safety & Correctional Services- CENTRAL- Parole & Probation,,,,,,,,,,
71,Southern Parole & Probation Office and Drinking Driving Monitoring Program,MD Dept. of Public Safety & Correctional Services- SOUTHERN- Parole & Probation,,,,,,,,,,
72,Victim Services,MD Dept. of Public Safety & Correctional Services-OFFICE OF VICTIM SERVICES,,,,,,,,,,
73,Methadone and Buprenorphine maintenance treatment. Individual and group counseling. Case management services. Relapse prevention education. Discharge planning. Medicaid and Medicare accepted. Call for intake and schedule/locations.,MedMark,,,,,,,,,,
74,"Transitional housing, supportive housing, Intensive and Standard Outpatient addiction recovery treatment, DUI/DWI classes, money management and conflict resolution classes. Case management and service referrals. Men only. No sex offenders.","MISHA House, Inc.",,,,,,,,,,
75,"Transitional housing, supportive housing, Intensive and Standard Outpatient addiction recovery treatment, DUI/DWI classes, money management and conflict resolution classes. Case management and service referrals. Men only. No sex offenders.","MISHA House, Inc.",,,,,,,,,,
76,Intensive and Standard Outpatient drug and alcohol treatment services and DUI/DWI education.,MISHA House - Garwyn Medical Center,,,,,,,,,,
77,"Emergency shelter for men (short, long term), job training, counseling. Entry before 6 p.m. $20/Per week. Men Only. No methadone users.",Mission Possible Ministries Shelter For Men,,,,,,,,,,
78,"Daytime drop-in shelter, financial and emergency assistance, education, job training. Case management. Women only. Free.",My Sister's Place,,,,,,,,,,
79,"Mental health service provider. Outpatient, counseling. Accepts Medicaid.","Neuropsychiatry Institute at Good Samaritan Hospital, Russel Morgan Building",,,,,,,,,,
80,"The Northwest Career Center is a proud partner of the American Job Center Network that  specializes in assisting citizens with criminal background issues within its Reentry Center. Services include employment referrals and job search assistance, referrals to training programs, resume preparation and workshops to enhance job seeking skills and work readiness. A wide variety of co-located partners provide barrier removal and skill enhancement services. Free use of computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Northwest One- Stop Career Center,,,,,,,,,,
81,Support group for older women who are living with HIV/AIDS. Networking and education gathering. Lunch provided. Monthly. Women only.,"Older Women Embracing Life, OWEL",,,,,,,,,,
82,"Substance Abuse and Mental Health treatment, psychiatric rehabilitation, vocational training, case management, benefits counseling, resources for self-employment and day programs. Medicaid Accepted.","PDG Rehabilitation, Inc.",,,,,,,,,,
83,"A 5 year apprenticeship program that includes intensive technical training, 8,500 to 10,000 hours of on-the-job training and approximately 1,250 hours of related training in the classroom. Call for more information. Applicants may have a criminal record.",Plumbers and Steamfitters Union Apprenticeship Program,,,,,,,,,,
84,"Positive Steps Psychiatric Rehabilitation Program (PRP) is an ancillary service for children and adults who suffer with a severe mental impairment and who are currently receiving psychotherapy treatment. Also available is Substance Abuse program provides an initial assessment, on-site urinalysis, individual and group therapy as well as DWI/DUI classes. Medical assistance accepted.","Positive Steps, LLC",,,,,,,,,,
85,"Substance Abuse treatment: Intensive Outpatient, Standard Outpatient, detox and early intervention. Medicaid accepted.",DeVaughn Inc. Teach and Treat Options,,,,,,,,,,
86,"Transitional Housing, Level 2 Outpatient Substance Abuse treatment program. First 90 days are free, rent contribution after that. Men and women welcome.",Recovery for Life,,,,,,,,,,
87,"Outpatient substance abuse treatment, psychiatric rehabilitation program. Referrals for independent living, housing, employment, self administration and management of medications, transportation. Accepts Medicaid.",Step By Step of Maryland,,,,,,,,,,
88,"Free program for noncustodial parents; job training and employment, assisting becoming economically self-sufficient to assist with child support payments. Open to all noncustodial parents who have a Baltimore City child support case and are subject to the jurisdiction of the Baltimore City Circuit Court.",STEP UP,,,,,,,,,,
89,Housing services for individuals who are HIV positive and individuals who are suffering from Substance Abuse. Men only.,"The Theodore House, Inc.",,,,,,,,,,
90,"Domestic violence services. Emergency shelter, transitional housing, legal consultation, counseling, trauma therapy, victim advocacy.",Turn Around Inc.,,,,,,,,,,
91,"Case management for victims; counseling, job preparation, job search, GED classes, literacy and tutoring. Men, women and children over the age of 14 welcome. Free.","University of Maryland Medical Center (UMMC- Shock Trauma), Violence Prevention Program",,,,,,,,,,
92,"Adult Detox-Outpatient, Intensive/Standard Outpatient Substance Abuse treatment,  Buprenorphine and Methadone Assisted. Sliding scale. Medicaid Accepted.","University of Maryland Medical Center, Outpatient Addiction Treatment Services",,,,,,,,,,
93,,Chesapeake Christian Counseling Center,,,,,,,,,,
94,Shelter housing for women and children. Provides meals and referrals. Must complete a phone intake prior to arrival. Women and children only. No substances allowed.,Women Affairs of Almumtahinah Home Inc.,,,,,,,,,,
95,"Outpatient Treatment/Intensive Outpatient, Group Counseling, DWI classes, Relapse Prevention Counseling and Drug Screen Monitoring Services. Accepts Medicaid.","A Helping Hand Health Services, LLC",,,,,,,,,,
96,Outpatient services for substance abuse and dual diagnosis. Accepts Medicaid.,Arthur Flax's Comprehensive Psychosocial Services,,,,,,,,,,
97,Provides referrals to mental health and substance abuse treatment.,"Baltimore County Dept. of Health, Bureau of Behavioral Health",,,,,,,,,,
98,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Baltimore County Workforce Development Center at Hunt Valley,,,,,,,,,,
99,Intensive/Standard Outpatient for substance abuse and mental health. Suboxone management.  Accepts Medicaid.,Epoch Counseling Center - Dundalk,,,,,,,,,,
100,Intensive/Standard Outpatient for substance abuse and mental health. Accepts Medicaid.,Epoch Counseling Center - Essex,,,,,,,,,,
101,"Rapid re-housing and shelter diversion program, coupled with intensive case management and short-term rental assistance, serving 150 families and individuals in Baltimore City and Baltimore County. Call for eligibility.",Front Door,,,,,,,,,,
102,Psychological testing and individual therapy. Accepts Medicaid.,GIFTS Psychological Services,,,,,,,,,,
103,"Methadone and Buprenorphine maintenance treatment, Individual and group counseling, Case management services, Relapse prevention education and Discharge planning. Accepts Medicaid.","Glass Health Programs, Essex",,,,,,,,,,
104,"Assistance with job readiness and job placement. Includes resume building, interview skills, job tips and job search. 1st 3 Wednesdays of the Month from 9:30 a.m. - 12:30 p.m. Free.",Goodwill & Baltimore County Public Library - Essex Branch,,,,,,,,,,
105,"Assistance with job readiness and job placement. Includes resume building, interview skills, job tips and job search. 1st 3 Wednesdays of the Month from 2-5 p.m. Free.",Goodwill & Baltimore County Public Library - North Point Branch,,,,,,,,,,
106,"Assistance with job readiness and job placement. Includes resume building, interview skills, job tips and job search. 1st 3 Tuesdays of the Month from 2-5 p.m. Free.",Goodwill & Baltimore County Public Library - Randallstown Branch,,,,,,,,,,
107,"Assistance with job readiness and job placement. Includes resume building, interview skills, job tips and job search. 1st 3 Tuesdays of the Month from 9:30 a.m. - 12:30 p.m. Free.",Goodwill & Baltimore County Public Library - Woodlawn Branch,,,,,,,,,,
108,Assistance with applying for and owning an affordable home. Free guidance.,Habitat for Humanity-Home Buying Program,,,,,,,,,,
109,"Evaluation, Medication Management, Psychological, Diagnostic and Psychiatric Evaluations, Court Ordered Assessments, Individual, Family & Group Therapy, Individual Treatment Plan, Therapeutic Behavioral Services, Psychiatric Rehabilitation and Substance Use Disorder Program. Accepts Medicaid.",Healthcare Living for Families,,,,,,,,,,
110,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
111,Intensive/Standard Outpatient for substance abuse and mental health. Individual and group counseling. Buprenorphine Assistance. Accepts Medicaid.,"Life Renewal Services, Inc.",,,,,,,,,,
112,Individual and family counseling. Accepts Medicaid.,Live Well and Thrive Therapy,,,,,,,,,,
113,"Inpatient and outpatient substance abuse treatment. Counseling. Vocational/life skills training, drug assessment. Private insurance and self pay.",Maryland Addiction Recovery Center,,,,,,,,,,
114,"Primary and follow up care, mental health, substance abuse, HIV/STD testing and referral services. Accepts Medicaid.",MedStar Franklin Square Medical Center - Healthcare for the Homeless,,,,,,,,,,
115,Drop in Mental health program for adults. Mood disorder support group. Substance Abuse community program. Referral services. Free.,On Our Own Inc. (Baltimore City),,,,,,,,,,
116,"Transitional housing, faith based support, mentorship, community engagement. Referrals for other services. Men only. Free.",Philemon Ministry,,,,,,,,,,
117,"Substance Abuse residential recovery and treatment program specializing in education, treatment, counseling and recovery alternatives for individuals suffering from alcohol/drug abuse and addiction. MVA approved program for DUI/DWI. Self pay.",Right Turn IMPACT,,,,,,,,,,
118,"Assists people understand, recover from, and treat traumatic stress (including PTSD), dissociative disorders, and co- occurring issues, such as addictions, self injury, and suicidality. Various payment options.",Sidran Institute,,,,,,,,,,
119,Intensive/Standard Outpatient Substance Abuse treatment for Men and Women.  Group therapy. Various payment options.,"The Resource Group Counseling & Education Center, Inc.",,,,,,,,,,
120,Intensive/Standard Outpatient Substance Abuse treatment for Men and Women.  Self pay.,Towson Addictions Center,,,,,,,,,,
121,"Domestic violence services. Emergency shelter, transitional housing, legal consultation, counseling, trauma therapy, victim advocacy.",Turn Around Inc.,,,,,,,,,,
122,Intensive/Standard Outpatient for Substance Abuse. Men and women over 18. Self pay.,"Turning Corners, Inc.",,,,,,,,,,
123,"100+ bed homeless shelter offering AA/NA, support groups, rapid housing, case management and after care coordination. Men only. Free.",Westside Emergency Men's Shelter,,,,,,,,,,
124,Food Pantry. Call for hours.,Bayside Baptist Church,,,,,,,,,,
125,Food Pantry. Call for hours.,Brooks Church Pantry,,,,,,,,,,
126,Food Pantry. Call for hours.,"Calvert Churches Community Food Pantry, Inc.",,,,,,,,,,
127,Rental/Utility/Mortgage Assistance. Call for more information.,Calvert Community Ministry,,,,,,,,,,
128,"Intensive Outpatient treatment for substance abuse and mental health. Individual/family counseling, medication evaluation/management and behavioral health assessments. Substance abuse education and court diversion programs. Accepts Medicaid.",Calvert County Behavioral Health Services - Barstow,,,,,,,,,,
129,"Intensive Outpatient treatment for substance abuse and mental health. Individual/family counseling, medication evaluation/management and behavioral health assessments. Substance abuse education and court diversion programs. Accepts Medicaid.",Calvert County Behavioral Health Services - Chesapeake Beach,,,,,,,,,,
130,"Intensive Outpatient treatment for substance abuse and mental health. Individual/family counseling, medication evaluation/management and behavioral health assessments. Substance abuse education and court diversion programs. Accepts Medicaid.",Calvert County Behavioral Health Services - Lusby,,,,,,,,,,
131,"Intensive Outpatient treatment for substance abuse and mental health. Individual/family counseling, medication evaluation/management and behavioral health assessments. Substance abuse education and court diversion programs. Accepts Medicaid.",Calvert County Behavioral Health Services - Prince Frederick,,,,,,,,,,
132,Provides referrals to mental health and substance abuse treatment.,Calvert County Core Service Agency,,,,,,,,,,
133,Provides referrals to mental health and substance abuse treatment.,Calvert County Health Department,,,,,,,,,,
134,"Internet, computer classes, movies, free children’s programs. Free.",Calvert County Library,,,,,,,,,,
135,Food Pantry. Call for hours.,Chesapeake Cares Food Pantry,,,,,,,,,,
136,"Mediation services for community, family, landlord tenant, employment, reentry conflicts. Free.",Community Mediation Center,,,,,,,,,,
137,"Provides counseling services for families, women and children in addition to counseling services for abusers. Free.","Crisis Intervention Center, Calvert County Department of Health",,,,,,,,,,
138,,Department of Rehabilitation Services,,,,,,,,,,
139,Food Pantry. Call for hours.,Emmanuel 7th Day Adventist Pantry,,,,,,,,,,
140,,Family Access Center (FAC),,,,,,,,,,
141,"Thrift Store, open Tues-Sat, 10am-2pm.",Help Association Thrift Store,,,,,,,,,,
142,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
143,Assistance in obtaining ID or Drivers license. Free.,"Identification Cards- MVA,",,,,,,,,,,
144,Free legal advice and assistance. Civil cases only.,Legal Aid Bureau,,,,,,,,,,
145,Prince Frederick Parole & Probation Office and Drinking and Driving Monitoring Program.,MD Dept. of Public Safety & Correctional Services-PRINCE FREDERICK- Parole & Probation,,,,,,,,,,
146,Rental/Utility/Mortgage Assistance. Call for more information.,Mortgage - The HOPE Initiative,,,,,,,,,,
147,"National Association for Mental Health. Information, referrals, services, support groups. Free.",NAMI Southern Maryland,,,,,,,,,,
148,Discounted dental care. Sliding scale. Call for more information.,Prince Frederick Dental Group,,,,,,,,,,
149,Food Pantry. Call for hours.,Randle Cliffs Community Church,,,,,,,,,,
150,Food Pantry. Call for hours.,SMILE (Service Makes Individual Lives Exciting),,,,,,,,,,
151,Rental/Utility/Mortgage Assistance. Call for more information.,SMILE Ecumenical Ministries,,,,,,,,,,
