id,description,name,accreditations,alternate_name,date_incorporated,email,funding_sources,legal_status,licenses,tax_id,tax_status,website
152,"Thrift shop, discounted clothing and home goods. Hours: Wed ,Thurs, Fri 10am-2pm; Sat 9am-noon)","SMILE Ecumenical Ministries, Inc. Thrift Store",,,,,,,,,,
153,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Southern Maryland JobSource,,,,,,,,,,
154,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Southern Maryland JobSource,,,,,,,,,,
155,Rental/Utility/Mortgage Assistance. Call for more information.,Southern Maryland Tri-County Community Action,,,,,,,,,,
156,Food Pantry. Call for hours.,"St. Anthony’s Church, Ladies of Charity",,,,,,,,,,
157,Food Pantry. Open Mon-Thurs 9 a.m.-3 p.m.,St. John Vianney,,,,,,,,,,
158,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Caroline County American Job Center,,,,,,,,,,
159,Outpatient mental health and substance abuse services and counseling,For All Seasons,,,,,,,,,,
160,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
161,Free legal services and referrals,Legal Aid,,,,,,,,,,
162,Provides referrals to mental health and substance abuse treatment.,"Mid-Shore Behavioral Health, Inc.",,,,,,,,,,
163,"Domestic violence services including crisis shelter, 24 hour hotline, counseling, advocacy, legal assistance, emergency food and clothing. Spanish speaking.",Mid-Shore Council on Family Violence,,,,,,,,,,
164,Food Pantry. Free. Call for hours.,St Martin's Barn,,,,,,,,,,
165,Transportation services. Call for more information and routes.,Upper Shore Take A Ride,,,,,,,,,,
166,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Business and Employment Resource Center,,,,,,,,,,
167,Legal,Carroll County Community Mediation,,,,,,,,,,
168,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Carroll County Workforce Services,,,,,,,,,,
169,"Intensive/Standard Outpatient mental health and substance abuse treatment, individual, group and family counseling. Sliding scale.","Catoctin Counseling Centers, Inc.",,,,,,,,,,
170,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
171,Westminster Parole and Probation and Drinking Driving Monitoring Program office.,MD Dept. of Public Safety & Correctional Services- WESTMINSTER,,,,,,,,,,
172,Westminster Parole and Probation Office.,MD Dept. of Public Safety & Correctional Services- WESTMINSTER- Parole & Probation,,,,,,,,,,
173,Rental/Utility/Mortgage Assistance. India Head & Marbury Residents ONLY. Call for more information.,Marbury Baptist Church,,,,,,,,,,
174,Provide case management to access resources in the county. Must have a current mental health diagnosis and Medicaid.,Potomac Case Management Services,,,,,,,,,,
175,"Substance Abuse treatment. Assessment and evaluations, outpatient programs, weekend intervention program for DUI offenders, residential program 28-90 days. Does not accept Medicaid/Medicare. Self pay facility.",Right Turn,,,,,,,,,,
176,Provides referrals to mental health and substance abuse treatment.,Cecil County Core Service Agency,,,,,,,,,,
177,"Emergency cold weather shelter. Open from late November- late March. Intake in person Mon-Fri 4pm. First come, first serve. Men, women and children welcome. No sex offenders. Locations vary, transportation to locations offered.",Cecil County Emergency Rotating Shelter,,,,,,,,,,
178,Provides referrals to mental health and substance abuse treatment.,Cecil County Health Department,,,,,,,,,,
179,Transitional housing. Men only. Need to be at least 30 days clean. Civilians and veterans welcome. Call for intake and more information.,Cecil County Men's Shelter,,,,,,,,,,
180,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
181,"Day program that offers showers, mail collection, laundry, and referrals with medical services and job seeking assistance. Monday – Friday  8-11:30 am. Monday, Wednesday, Friday 1- 4 pm. Free.",Mary Randall Center,,,,,,,,,,
182,Assisting adults with developmental disabilities. Job and independent living skills. Free.,Arc of Southern Maryland,,,,,,,,,,
183,Free prenatal and pregnancy care. Call for more information and appointments.,Catherine Foundation Pregnancy Center,,,,,,,,,,
184,"Lifeline for troubled youth and adults who are contemplating suicide or who need solutions to such problems as substance abuse, family conflict, physical and sexual abuse, assault and emergency housing. Free.",Center for Abused Persons,,,,,,,,,,
185,"Intensive/Standard Outpatient substance abuse and mental health  treatment. Counseling and support groups.  AA/NA, Job training. Sliding scale; accepts Medicaid.","Changing Cycles, LLC",,,,,,,,,,
186,Food pantry. Call for hours.,Charles County Children’s Aid Society,,,,,,,,,,
187,Rental/Utility/Mortgage Assistance. Call for more information.,Charles County Children’s Aid Society,,,,,,,,,,
188,Provides referrals to mental health and substance abuse treatment.,Charles County Department of Health; Core Services Agency,,,,,,,,,,
189,Assistance getting Birth Certificates.,"Charles County Department of Health, Vital Records",,,,,,,,,,
190,Affordable housing options in Charles County. Call for more information and eligibility.,Charles County Dept. of Community Services – Housing Services,,,,,,,,,,
191,Mental health counseling. Sliding scale. Medicaid accepted.,Charles County Freedom Landing,,,,,,,,,,
192,Adult Education/GED Classes/External High-School Diploma. Free.,"Charles County Literacy Council, United Way Building",,,,,,,,,,
193,"Mediation services for community, family, landlord tenant, employment, reentry conflicts. Free.",Charles County Mediation Center at the College of Southern Maryland,,,,,,,,,,
194,Mental health counseling. Sliding scale. Medicaid accepted.,Charles County Mental Health Clinic,,,,,,,,,,
195,Food pantry. Open (Fri 9-11am.) Free.,Christ Church,,,,,,,,,,
196,Food pantry. Open (every Thursday night from 5-7 pm.) Free.,Community Food Pantry- Christ Episcopal,,,,,,,,,,
197,Assistance obtaining IDs and Drivers licenses. Free.,Driver Licenses/ID Cards – MVA,,,,,,,,,,
198,Thrift store. Discount clothing. Call for hours.,Goodwill,,,,,,,,,,
199,Discount dental care. Call for more information.,Great Baden Dental Clinic,,,,,,,,,,
200,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
201,Rental/Utility/Mortgage Assistance. Call for more information.,Interfaith Community Connections,,,,,,,,,,
202,Substance Abuse treatment. Call for more information.,Jude House,,,,,,,,,,
203,Rental/Utility/Mortgage Assistance. Call for more information.,La Plata United Methodist Church,,,,,,,,,,
204,Free legal advice and assistance. Civil cases only.,"Legal Aid Bureau, Inc.",,,,,,,,,,
205,"Library: internet, computer classes, movies, free children’s programs. Free. Call for hours.",Library: La Plata Branch,,,,,,,,,,
206,"Library: internet, computer classes, movies, free children’s programs. Free. Call for hours.",Library: P.D. Brown Memorial Branch,,,,,,,,,,
207,"Library: internet, computer classes, movies, free children’s programs. Free. Call for hours.",Library: Potomac Branch,,,,,,,,,,
208,"Library: internet, computer classes, movies, free children’s programs. Free. Call for hours.",Library: Waldorf West Branch,,,,,,,,,,
209,"Job training,  food and clothing pantry, emergency overnight shelter program to individuals and families from October 1 through April 15. Call for more information. Free.","Lifestyles of Maryland Foundation, Inc.",,,,,,,,,,
210,Food pantry. Call for hours.,Mary's/Loretta’s Food Pantry,,,,,,,,,,
211,Provides jobs and opportunities for persons with disabilities. Job training and placement. Free.,Melwood,,,,,,,,,,
212,"Provides information, education, understanding and support for  persons experiencing mental illness and their families. Educational programs, a Connection Recovery Support Group, support groups for family and caregivers. Helpline available 7 days a week between 9:00am-9:00pm. Free.",NAMI Southern Maryland,,,,,,,,,,
213,Rental/Utility/Mortgage Assistance. Western Charles County ONLY. Call for more information.,Neighbors Eager to Serve,,,,,,,,,,
214,Food Pantry. Open 1st & 3rd Sat. or 2nd & 4th Wed. from 9:30am-12:30pm. Free.,Peace Lutheran Church Food Pantry,,,,,,,,,,
215,Discount and free clothing and household items.,Salvation Army,,,,,,,,,,
216,Rental/Utility/Mortgage Assistance. Call for more information.,Salvation Army,,,,,,,,,,
217,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Southern Maryland JobSource,,,,,,,,,,
218,Affordable housing options in Charles County. Call for more information and eligibility.,Southern Maryland Tri-County Community Action,,,,,,,,,,
219,Rental/Utility/Mortgage Assistance. Call for more information.,Southern Maryland Tri-County Community Action,,,,,,,,,,
220,Food pantry one Saturday per month; call for emergency food and days of operation. Free.,Star of the Sea Pantry,,,,,,,,,,
221,Food pantry. Call for hours.,"Wayside Food Bank, Inc.",,,,,,,,,,
222,Temporary staffing agency. Criminal records accepted.,BesTemps,,,,,,,,,,
223,"Referral Service; Substance Abuse, Mental Health, Birth Certificates, Counseling, Medical",Dorchester County Department of Health,,,,,,,,,,
224,"Referral Service; Emergency Food Assistance, Housing, Identification, Emergency Cash Assistance, Food Stamps, Medical Coverage",Dorchester County Department of Social Services,,,,,,,,,,
225,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
226,Provides referrals to mental health and substance abuse treatment.,"Mid-Shore Behavioral Health, Inc.",,,,,,,,,,
227,"Domestic violence services including crisis shelter, 24 hour hotline, counseling, advocacy, legal assistance, emergency food and clothing. Spanish speaking.",Mid-Shore Council on Family Violence,,,,,,,,,,
228,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",One Stop American Job Center,,,,,,,,,,
229,Offers a Families Forward Program that connects low-income families in economic crisis with appropriate resources to help them stay in their homes. These families receive the same comprehensive services as transitional housing clients and must enroll in education or a job training program to improve employment options. Free.,Advocates for Homeless Families,,,,,,,,,,
230,"Counseling for anxiety disorders, attachment issues, ADHD, anger management, depression, divorce, grief and loss, trauma, stress management, relationship issues, parenting coordination, social skills, eating disorders and life transitions. Medicaid Accepted.",Associated Family Counseling,,,,,,,,,,
231,"Offers free parent education courses for parents with children of all ages, smoking cessation classes, tobacco use prevention and cessation initiatives and prevention programs for high-risk youth.  Also offers substance abuse  education. M F 8:00am-5:00pm. Free.",Behavioral Health Prevention Services,,,,,,,,,,
232,Inpatient and Outpatient Substance Abuse treatment. Medicaid Accepted.,"Behavioral Health Partners of Frederick, Inc.",,,,,,,,,,
233,"Outpatient services in Hagerstown and Frederick that includes short-term hospitalization, outpatient treatment and adult partial hospitalization program. Services include individual, group, marital and family therapy, medication management, pastoral counseling. Accepts Medicaid.",Brook Lane Health Services,,,,,,,,,,
234,"Mental health services including family therapy, oppositional defiant teenagers and couples, and depression and anxiety issues. Group therapies available including substance abuse, domestic violence perpetrator and victim, and sexual inappropriateness.  Sliding scale.","Catoctin Counseling Centers, Inc.",,,,,,,,,,
235,"Service-oriented charitable organization to assist pregnant women, families, and children.  Free pregnancy tests and counseling.  Material assistance with clothing, baby furniture, diapers and formula. HOURS: Mon, Fri 1:00pm-3:00pm, Tues 7:00am-8:00pm, Wed 12:00pm-2:00pm,walk ins and by appointment. Free.",Catoctin Pregnancy Center,,,,,,,,,,
236,"Psychotherapy for adults, children, couples, and families working through grief, depression, anxiety, eating disorders, life transitions, adoptions, chronic pain, illness, relationship and martial issues, ADD, addictions, trauma, school problems. Accepts Medicaid.",Center for Integrative Health,,,,,,,,,,
237,"Provides resources to caregivers and children with parents/family members that are incarcerated, promotes awareness of incarcerated children and caregiver needs. Educational and child rearing information for caregivers. Free.",Children of Incarcerated Parents,,,,,,,,,,
238,"Outpatient treatment with most populations including mood or anxiety concerns, trauma, life changes, and behavior challenges. Accepts Medicaid.",Counseling Services,,,,,,,,,,
239,"Provides a link of communication between victims, witnesses, and the court system by offering support and information throughout all phases of the legal process; protects the legal rights of all concerned; explains court procedures; notifies victims of court dates, accompanies victims to court and makes appropriate referrals.  Crisis intervention at all hours through the police departments. Free.","Crime Victims and Witnesses Assistance Program , State's Attorney's Office",,,,,,,,,,
240,"Distributes governmental food supplies for qualified individuals and families.  May access service once a month and photo ID and proof of residency required. Open Tu-Wed 7:00pm- 8:00pm, Fri1:00pm-2:00pm, Sat 10:00am-11:00am. Free.",Emmmitsburg Food Pantry,,,,,,,,,,
241,"Provides workshops for parents and children throughout the year including Students Study Skills, Managing the Teen Years, Organization Skills, parenting the Under Five Set and they are the parent organization for Safe Kids of Frederick County. Referrals to county resources. Free.",Families Plus,,,,,,,,,,
242,"Individual, group and couples therapy. By appointment only. Accepted Medicaid.",Christ First Counseling,,,,,,,,,,
243,"Provides information, referral, advocacy, short-term counseling, and support services to active duty military and their families as well as prevention, investigation, and treatment of child and spouse abuse in military families. Parenting classes, couples communication groups, anger management, individual parenting education and referrals. Free.",Family Advocacy Program at Ft. Detrick,,,,,,,,,,
244,"Affordable workforce housing.  Eligibility criteria includes: family income of 30-80% of the median income for Frederick County, contribution of at least 1% of the purchase price as a down payment, and ability to qualify for a conventional mortgage loan. Call for eligibility.",Frederick County Affordable Land Trust,,,,,,,,,,
245,"Public Housing Voucher and Section 8 Program, Rental Allowance Program, emergency rehabilitation revolving loans and State rehabilitation loan programs, Livability Code Inspections, Senior Housing Facilities, and home buyers assistance program.  Call for an appointment. Free.",Frederick County Department of Housing and Community Development,,,,,,,,,,
246,"Provides individuals and families with heating, utilities, and weatherization of their homes.  Offers assistance with heating bill in the winter and year round assists with electric utility bill payments.  Some funds are available for a one time only benefits for past due bill payments.  Referrals to the Weatherization Program. Free.","Frederick County Department of Social Services, Office of Home Energy Programs",,,,,,,,,,
247,Offers nutritional assistance to families in need through a supplemental food program and the food stamp program. Free.,"Frederick County Department of Social Services, Supplemental Nutrition Assistance Program",,,,,,,,,,
248,"Assists local families with limited resources to buy their first home by providing down payment and closing cost assistance.  The maximum loan amount is $5,000.  Applicants are required to put a minimum of their own funds towards the home purchase. Call for eligibility.",Frederick County Maryland Home Initiative Program,,,,,,,,,,
249,"Outpatient substance abuse treatment specializing in methadone maintenance and detoxification for patients who are addicted to opiates.  Our program provides daily methadone dosing, individual and group counseling, education, family involvement, and referral services. Accepts Medicaid.",Frederick Institute,,,,,,,,,,
250,"Psychological services including counseling for depression, anxiety, relationship concerns, addiction, trauma, stress management, marital and family issues, parenting, loss and grief, and personal growth. Acupuncture, massage, reiki meditation, and nutritional counseling. Sliding scale payment.",Healing Circles Wellness Center,,,,,,,,,,
251,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
252,"Provides free civil (non-criminal) legal services for low-income people, children and the elderly who meet the income guidelines.  Also provides mortgage foreclosure counseling and representation.  Offers Pro-Bono legal aid clinics throughout the year. Free.",Legal Aid,,,,,,,,,,
253,"Inpatient and Outpatient for Substance Abuse. Medication management, Suboxone and counseling services. Accepts Medicaid.",Main Place Treatment,,,,,,,,,,
254,Frederick Parole and Probation Office and Drinking and Driving Monitoring.,MD Dept. of Public Safety & Correctional Services- FREDERICK- NORTH REGIONAL OFFICE,,,,,,,,,,
255,"Mental health services including full medical and psychiatric evaluations/consultations, medication management, Suboxone maintenance, bariatric evaluations,  psychological testing and counseling/psychotherapy services. Referral services.  Medicaid Accepted.",Medpsych Health Services,,,,,,,,,,
256,Mental health counseling for adults and children. 24 hour support line. Support groups. Referrals to other services. Medicaid Accepted.,Mental Health Association,,,,,,,,,,
257,Provides referrals to mental health and substance abuse treatment.,Mental Health Management Agency,,,,,,,,,,
258,Sex offender evaluation and counseling. Medicaid Accepted.,"MRB Counseling Services, Inc. - Frederick",,,,,,,,,,
259,"Mental health treatment and evaluation. Individual and family counseling, psychological evaluation, urinalysis, DUI/DWI classes, anger management. Medicaid accepted.","MRB Counseling Services, Inc. - Frederick",,,,,,,,,,
260,"Provides information, education, understanding and support for  persons experiencing mental illness and their families. Educational programs, a Connection Recovery Support Group, support groups for family and caregivers. Helpline available 7 days a week between 9:00am-9:00pm. Free.",NAMI of Frederick County,,,,,,,,,,
261,"Support group for individuals who abuse narcotics, cocaine, heroin, marijuana, pills, and any other substance.  Recovering addicts meet regularly to help each other stay drug free.  Call for days and times of meetings.  There is only one requirement for membership, the desire to stop using drugs. Confidential services. Free.",Narcotics Anonymous,,,,,,,,,,
262,"Promotes recovery, wellness and peer support in an environment of understanding, advocacy and education to past or present recipients of mental health services.  Provides weekly support groups and  one-on-one peer support.  Call for details. Free.",On Our Own,,,,,,,,,,
263,"Provides emergency financial assistance, drivers for medical appointments, holiday assistance, school supply drive, exercise classes for seniors. Referrals to other services. Must be resident of Middletown Valley and show photo ID and proof of residency.  Free.",People Helping People,,,,,,,,,,
264,Provides case management to access resources in the county. Must have a current mental health diagnosis and Medicaid.,Potomac Case Management Services,,,,,,,,,,
265,"Voucher program to assist section 8 participants wanting to purchase a home.  Assistance with clearing credit reports, high speed internet computer access, job training, GED classes, computer classes, Head Start Partnership, Homework Club, job shadowing, senior activities, women's groups, a lending library and free tax assistance. Free.",Prosperity Center,,,,,,,,,,
266,"Assist men in becoming responsible fathers and reconnecting with their children.  Group and individual assistance and referrals.  A father’s support group in an environment that is conducive to discussion of manhood issues that consist of emotional and physical support of his child, relationships, life skills, and financial support of his child. Free.",Responsible Fathers Program,,,,,,,,,,
267,"Offers mid to low-income residents emergency financial assistance, holiday assistance and a thrift store. Financial assistance offered to residents who have a utility turn-off notice, notice of legal eviction, or in need of a prescription. Appointment needed. Thrift Shop offers gently used clothing, furniture, and household items to the public at minimal prices. Located at 919 East Street; Tuesday-Saturday 10:00am- 6:00pm.",Salvation Army,,,,,,,,,,
268,"Soup kitchen on Wednesdays from 6- 7pm and Saturdays from 4-5pm; Food pantry open Wednesdays from 6-7:30pm and Saturdays from 5-6:30pm. Families may visit food pantry once per month. Provides clothing, sleeping bags, and hygiene items to individuals and families. AA support group Saturdays at 11am. Free laundry services; drop off Wednesday 6pm and returned Saturday at 5pm. Referrals to other services. Free.",Second Street and Hope,,,,,,,,,,
269,"Substance abuse treatment services including urinalysis, drug/alcohol screenings, assessment/intake, treatment planning.  Vivitrol provider. Offers DUI/DWI, anger management, and outpatient programs, as well as individual and group counseling. Accepts Medicaid.","Serenity Treatment Center, Inc.",,,,,,,,,,
270,"Provides emergency financial assistance, holiday assistance, a thrift shop (Tu-Fri 10:00am-4:00pm, Sat 10:00am-3:00pm), information and referral as well as supportive visits to low income residents. Targets northern Frederick County residents in zip code areas  21719, 21727, 21757, 21773, 21778, 21780, 21783, 21788 and 21798. Free.",Seton Center,,,,,,,,,,
271,"Offers a self-empowering recovery support group.  This is not a twelve step program as participants learn tools through a four point program based on the latest scientific research; abstain, coping with urges, problem solving, and lifestyle balance.  Meetings are Tuesdays from 7-8:30pm. Free.",Smart Recovery Support Group,,,,,,,,,,
272,"Emergency Shelter, Food Bank, Medical, Medication and Dental assistance. Referrals to community and government resources. Free.",The Religious Coalition,,,,,,,,,,
273,"Assists veterans and eligible dependents in acquiring their benefits. Authorized to represent veterans and their dependents before the United States Department of Veterans Affairs, as well as provide general information to those seeking assistance, regardless of representation. Appointment required.","Veteran Service and Benefits Program, Frederick County",,,,,,,,,,
274,"Family and individual counseling through offices in Emmitsburg, Frederick, Brunswick and Middletown. Psychiatric medication and in-home skills-based services, referrals. Medicaid accepted.",Villa Maria of Frederick County,,,,,,,,,,
275,Comprehensive psychological services with Christian professionals.  Licensed  psychologists and counselors provide therapy and assessment services. Medicaid Accepted.,Vital Sources Psychological Services,,,,,,,,,,
276,Workshops and training for women who are looking to build long lasting businesses. Free.,Women's Center for Business,,,,,,,,,,
277,Intensive/Standard Outpatient substance abuse treatment. HIV/STD testing. Referrals. Accepts Medicaid.,Garrett County Center for Behavioral Health,,,,,,,,,,
278,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
279,"Counseling services for women, men and children in Garrett County. Ability to prescribe medication. Medicaid accepted.",Lakeview Integrative Wellness,,,,,,,,,,
280,"Crisis intervention and emergency mental healthcare, urgent psychiatric evaluations and referrals.",Mobile Crisis Program,,,,,,,,,,
281,"Day center: behavioral health programs offering support groups, meals and snacks, individual support and case management, informational and educational programs for individuals with mental health and substance abuse issues. Open 11 am-5pm .",Mountain Haven Wellness and Recovery,,,,,,,,,,
282,"Emergency housing for men, women and children who are victims of violence and sexual assault provider. Referral for other service providers. Free.",The Dove Center,,,,,,,,,,
283,"One Stop Job Center offering career exploration, referrals to training programs, resume preparation, and workshops to enhance job seeking skills and work readiness. Access computers with Internet access, printers, photocopiers, fax machines, telephones, and a variety of job search resource materials. Free.",Western Maryland Consortium Garrett County Office,,,,,,,,,,
284,"A residential program that provides case management, therapy, and psychiatric services to adults with emotional, mental and behavioral disorders.",Alliance - Outpatient Mental Health Clinic,,,,,,,,,,
285,"Provides information about pregnancy, adoption and abortion alternatives; material assistance including baby clothing, diapers and maternity clothing; spiritual and emotional support; abortion recovery; parenting classes; and free pregnancy tests.",Alpha’s Glory Crisis Pregnancy Center,,,,,,,,,,
286,"Emergency Food Pantry, Fuel Fund (utility assistance), Maryland Energy Assistance Program. FOOD PANTRY: Monday-Thursday, 9:00 a.m.-12:00 noon and 1:00 p.m.-4:00 p.m. Friday, 8:30 a.m.-12:00 noon",Community Action Agency Emergency Food Pantry,,,,,,,,,,
287,"Intensive/Standard Outpatient substance abuse treatment. Sliding Scale, does not accept Medicaid/Medicare.",Emmorton Treatment Services,,,,,,,,,,
288,"Provide assistance with prescriptions, rent aid, utility cut-offs, 1-2 nights lodging and other various crisis.",FISH (Friends in Self Help) - WEST HARFORD,,,,,,,,,,
289,Provides referrals to mental health and substance abuse treatment.,Harford County Health Department,,,,,,,,,,
290,"Hot meals M,T,W,F at 12:30 p.m. Free.",Community Café,,,,,,,,,,
291,"Affordable housing opportunities for low and moderate income residents of Harford County. Affordable home ownership, loans and grants for special needs housing programs, rental assistance, renter protection, first-time homebuyer, housing preservation, foreclosure prevention, economic mobility, family self-sufficiency, and financial literacy.",Harford County Housing & Community Development Agency,,,,,,,,,,
292,"Christian ministry providing transitional, long-term housing and emergency shelter to homeless families with children. Residents must be referral by Community Action Agency.",Harford Family House,,,,,,,,,,
293,"Homebuyer education, pre-purchase and post-purchase counseling, default/delinquency and foreclosure prevention, budget and credit counseling and down payment and closing cost assistance.","Home Partnership, Inc.",,,,,,,,,,
294,"Affordable rental housing that serves low and moderate income households, seniors and persons with special needs. Statewide. Free eligibility screening.",Homes for America,,,,,,,,,,
295,Subsidized Housing. Section 8 vouchers or have their own Section 8 programs.,Perrywood Garden Apartments,,,,,,,,,,
296,"Non-profit program to enable people to file their own uncontested domestic cases without an attorney. Cases include divorce, custody, visitation, modification of custody or visitation, modification of child support, contempt for failure to provide visitation, and contempt for failure to pay child support. Open 9:00 a.m.-4:00 p.m. No appointment needed.",Pro Se Forms Assistance Project,,,,,,,,,,
297,"FOOD PANTRY Tuesday-Thursday, 10:00-11:45 a.m. & 1:00- 2:45 p.m. Provides help with utilities and rent for court-ordered eviction or foreclosure if funds are available.",Salvation Army,,,,,,,,,,
298,"Detox; Outpatient, Intensive/Standard Outpatient substance abuse treatment. Methadone Assistance. Medicaid/Medicare Accepted.","Serenity Health, LLC",,,,,,,,,,
299,Temporary Staffing Agency. Call or visit to fill out an application.,Contemporaries Inc.,,,,,,,,,,
300,Outpatient Mental Health Services. Accepts Medicaid,"Whitesell and Associates, LLC",,,,,,,,,,
